alpha,sigma,epsilon,replication,agent_0_reward,agent_1_reward,agent_2_reward,agent_3_reward,mean_reward,convergence_time,policy_key
0.4,0.2,0.75,0,-0.36269670724868774,-0.5705657601356506,-0.6741900444030762,-0.6136574745178223,-0.5552774667739868,2.0,a0.4_s0.2_e0.75_r0
0.4,0.2,1.0,0,-0.5145778059959412,-0.21184363961219788,-0.3082430958747864,-0.12049867957830429,-0.28879082202911377,2.0,a0.4_s0.2_e1.0_r0
0.4,0.4,0.0,0,-0.2721831202507019,-0.5827720761299133,-0.5856947898864746,-1.2577964067459106,-0.6746115684509277,2.0,a0.4_s0.4_e0.0_r0
0.4,0.4,0.25,0,-0.47008147835731506,-0.7453950643539429,-0.8322501182556152,-0.4117424488067627,-0.6148672699928284,1.75,a0.4_s0.4_e0.25_r0
0.4,0.4,0.5,0,-1.179997444152832,-0.6570261716842651,-1.1983088254928589,-0.23874829709529877,-0.818520188331604,2.0,a0.4_s0.4_e0.5_r0
0.4,0.4,0.75,0,-1.050370216369629,-0.9820457696914673,-0.37268298864364624,-0.16661709547042847,-0.6429290175437927,2.0,a0.4_s0.4_e0.75_r0
0.4,0.4,1.0,0,-0.4788036346435547,-0.4304730296134949,-0.4979223906993866,-0.834426999092102,-0.560406506061554,2.0,a0.4_s0.4_e1.0_r0
0.4,0.6,0.0,0,-0.47560837864875793,-0.5021206140518188,-1.938156247138977,-2.051274061203003,-1.2417898178100586,2.0,a0.4_s0.6_e0.0_r0
0.4,0.6,0.25,0,-1.6157591342926025,-2.4519529342651367,-1.4898121356964111,-0.8764843940734863,-1.6085020303726196,2.0,a0.4_s0.6_e0.25_r0
0.4,0.6,0.5,0,-1.2625477313995361,-1.0730080604553223,-1.2026928663253784,-1.027791142463684,-1.1415098905563354,2.0,a0.4_s0.6_e0.5_r0
0.4,0.6,0.75,0,-0.8387960195541382,-0.6444886922836304,-0.877793550491333,-1.3722569942474365,-0.9333338141441345,2.0,a0.4_s0.6_e0.75_r0
0.4,0.6,1.0,0,-1.5926868915557861,-0.7447346448898315,-1.9748895168304443,-2.865823745727539,-1.7945337295532227,2.0,a0.4_s0.6_e1.0_r0
0.4,0.8,0.0,0,-2.503021001815796,-2.325078248977661,-0.8406808376312256,-2.8763208389282227,-2.136275291442871,2.0,a0.4_s0.8_e0.0_r0
