alpha,sigma,epsilon,replication,episode,agent_0_reward,agent_1_reward,agent_2_reward,agent_3_reward,mean_reward
0.0,0.6,1.0,0,1,-2.2290397,-2.3260593,-2.632193,-2.615607,-2.4507248401641846
0.0,0.8,0.0,0,0,-0.7236042,-0.6936894,-1.1096733,-2.375967,-1.2257335186004639
0.0,0.8,0.0,0,1,-0.46126175,-0.36777288,-0.83412766,-2.0526595,-0.9289554357528687
0.0,0.8,0.25,0,0,-4.006465,-1.9635777,-6.4723773,-2.363342,-3.7014405727386475
0.0,0.8,0.25,0,1,-3.6423693,-1.2790087,-6.291937,-1.548777,-3.1905229091644287
0.0,0.8,0.5,0,0,-0.8287953,-2.2273884,-0.7187792,-3.9106436,-1.9214016199111938
0.0,0.8,0.5,0,1,-1.2221437,-2.9701111,-1.1975085,-5.1794124,-2.642293930053711
0.0,0.8,0.75,0,0,-0.38184157,-4.1870604,-1.7706103,-7.4688563,-3.452092170715332
0.0,0.8,0.75,0,1,-0.36956042,-4.0696015,-1.6871735,-7.414134,-3.385117292404175
0.0,0.8,1.0,0,0,-0.7559858,-0.18380783,-8.682975,-1.2464658,-2.717308521270752
0.0,0.8,1.0,0,1,-1.0930872,-0.6995165,-9.346823,-1.871413,-3.2527098655700684
0.0,1.0,0.0,0,0,-2.79855,-2.1241357,-0.4636404,-6.1846037,-2.8927323818206787
0.0,1.0,0.0,0,1,-3.0841813,-2.5968804,-0.88767135,-6.551377,-3.280027389526367
0.0,1.0,0.25,0,0,-6.92816,-3.1326919,-5.756972,-1.6361815,-4.363501071929932
0.0,1.0,0.25,0,1,-6.1378784,-2.861215,-5.314059,-1.1730537,-3.871551513671875
0.0,1.0,0.5,0,0,-1.9077104,-1.7792041,-2.4484894,-2.833665,-2.24226713180542
0.0,1.0,0.5,0,1,-2.264828,-1.9860228,-2.4806535,-3.176879,-2.47709584236145
0.0,1.0,0.75,0,0,-0.5613307,-1.2183731,-8.129592,-1.5856738,-2.8737425804138184
0.0,1.0,0.75,0,1,-1.0934274,-1.773649,-8.872007,-2.0298462,-3.442232608795166
0.0,1.0,1.0,0,0,-0.59985876,-1.9643462,-1.6967038,-1.3215426,-1.3956128358840942
0.0,1.0,1.0,0,1,-0.59382856,-1.9419936,-1.6751503,-1.3007926,-1.3779412508010864
0.4,0.2,0.0,0,0,-1.158224,-0.5121469,-0.14440276,-0.37285393,-0.5469068884849548
0.4,0.2,0.0,0,1,-1.3266978,-0.623702,-0.24969824,-0.5064449,-0.6766357421875
