alpha,sigma,epsilon,friction,reward_gap,convergence_time,policy_variance,pareto_inefficiency
0.0,0.4,1.0,0.8,1.043489694595337,2.0,0.0,0.0
0.0,0.6,0.0,0.6,1.3381577730178833,2.0,0.0,0.0
0.0,0.6,0.25,0.75,1.189830303192139,2.0,0.0,0.0
0.0,0.6,0.5,0.8999999999999999,1.0805559158325195,2.0,0.0,0.0
0.0,0.6,0.75,1.05,1.2710728645324707,2.0,0.0,0.0
0.0,0.6,1.0,1.2,2.5488767623901367,2.0,0.0,0.0
0.0,0.8,0.0,0.8,1.0773444175720217,2.0,0.0,0.0
0.0,0.8,0.25,1.0,3.445981740951538,2.0,0.0,0.0
0.0,0.8,0.5,1.2000000000000002,2.281847715377808,2.0,0.0,0.0
0.0,0.8,0.75,1.4000000000000001,3.418604850769043,2.0,0.0,0.0
0.0,0.8,1.0,1.6,2.98500919342041,2.0,0.0,0.0
0.0,1.0,0.0,1.0,3.0863800048828125,1.75,0.0,0.0
0.0,1.0,0.25,1.25,4.117526054382324,2.0,0.0,0.0
0.0,1.0,0.5,1.5,2.3596816062927246,2.0,0.0,0.0
0.0,1.0,0.75,1.75,3.157987356185913,2.0,0.0,0.0
0.0,1.0,1.0,2.0,1.3867770433425903,2.0,0.0,0.0
0.4,0.2,0.0,0.14285714285714288,0.6117713451385498,2.0,0.0,0.0
0.4,0.2,0.25,0.17857142857142858,0.4003822803497314,2.0,0.0,0.0
0.4,0.2,0.5,0.21428571428571433,0.1818221658468246,2.0,0.0,0.0
0.4,0.2,0.75,0.25000000000000006,0.5552774667739868,2.0,0.0,0.0
0.4,0.2,1.0,0.28571428571428575,0.2887908220291137,2.0,0.0,0.0
0.4,0.4,0.0,0.28571428571428575,0.6746115684509277,2.0,0.0,0.0
0.4,0.4,0.25,0.35714285714285715,0.6148672699928284,1.75,0.0,0.0
0.4,0.4,0.5,0.42857142857142866,0.818520188331604,2.0,0.0,0.0
0.4,0.4,0.75,0.5000000000000001,0.6429290175437927,2.0,0.0,0.0
0.4,0.4,1.0,0.5714285714285715,0.560406506061554,2.0,0.0,0.0
0.4,0.6,0.0,0.4285714285714286,1.2417898178100586,2.0,0.0,0.0
0.4,0.6,0.25,0.5357142857142857,1.6085020303726196,2.0,0.0,0.0
0.4,0.6,0.5,0.6428571428571428,1.1415098905563354,2.0,0.0,0.0
0.4,0.6,0.75,0.7500000000000001,0.9333338141441344,2.0,0.0,0.0
0.4,0.6,1.0,0.8571428571428572,1.7945337295532229,2.0,0.0,0.0
0.4,0.8,0.0,0.5714285714285715,2.136275291442871,2.0,0.0,0.0
0.4,0.8,0.25,0.7142857142857143,1.3525390625,2.0,0.0,0.0
0.4,0.8,0.5,0.8571428571428573,1.2185323238372805,2.0,0.0,0.0
0.4,0.8,0.75,1.0000000000000002,2.3504791259765625,2.0,0.0,0.0
0.4,0.8,1.0,1.142857142857143,2.682096481323242,1.75,0.0,0.0
0.4,1.0,0.0,0.7142857142857143,2.805541753768921,2.0,0.0,0.0
0.4,1.0,0.25,0.8928571428571429,1.269416570663452,2.0,0.0,0.0
0.4,1.0,0.5,1.0714285714285714,1.2049427032470703,2.0,0.0,0.0
0.4,1.0,0.75,1.25,1.4897291660308838,2.0,0.0,0.0
0.4,1.0,1.0,1.4285714285714286,0.96136474609375,2.0,0.0,0.0
0.8,0.2,0.0,0.11111111111111112,0.3352845907211303,2.0,0.0,0.0
0.8,0.2,0.25,0.1388888888888889,0.2735983431339264,2.0,0.0,0.0
0.8,0.2,0.5,0.16666666666666669,0.3617140650749206,1.75,0.0,0.0
0.8,0.2,0.75,0.19444444444444445,0.4889887869358063,2.0,0.0,0.0
0.8,0.2,1.0,0.22222222222222224,0.5553436279296875,2.0,0.0,0.0
0.8,0.4,0.0,0.22222222222222224,1.8685451745986936,2.0,0.0,0.0
0.8,0.4,0.25,0.2777777777777778,0.6675331592559814,2.0,0.0,0.0
0.8,0.4,0.5,0.33333333333333337,0.533453643321991,2.0,0.0,0.0
0.8,0.4,0.75,0.3888888888888889,0.3744444549083709,2.0,0.0,0.0
0.8,0.4,1.0,0.4444444444444445,0.5025723576545715,2.0,0.0,0.0
0.8,0.6,0.0,0.3333333333333333,1.5562400817871094,2.0,0.0,0.0
0.8,0.6,0.25,0.41666666666666663,3.38468599319458,2.0,0.0,0.0
0.8,0.6,0.5,0.49999999999999994,1.3399728536605835,2.0,0.0,0.0
0.8,0.6,0.75,0.5833333333333334,0.9312163591384888,2.0,0.0,0.0
0.8,0.6,1.0,0.6666666666666666,5.533163070678711,2.0,0.0,0.0
0.8,0.8,0.0,0.4444444444444445,1.5786330699920654,2.0,0.0,0.0
0.8,0.8,0.25,0.5555555555555556,1.4571223258972168,2.0,0.0,0.0
0.8,0.8,0.5,0.6666666666666667,2.7022054195404053,2.0,0.0,0.0
0.8,0.8,0.75,0.7777777777777778,3.606498718261719,2.0,0.0,0.0
0.8,0.8,1.0,0.888888888888889,2.2862560749053955,2.0,0.0,0.0
0.8,1.0,0.0,0.5555555555555556,2.100168228149414,2.0,0.0,0.0
0.8,1.0,0.25,0.6944444444444444,1.029245138168335,2.0,0.0,0.0
0.8,1.0,0.5,0.8333333333333333,2.913755416870117,2.0,0.0,0.0
0.8,1.0,0.75,0.9722222222222222,2.0303702354431152,1.75,0.0,0.0
0.8,1.0,1.0,1.1111111111111112,1.016519546508789,2.0,0.0,0.0
