alpha,sigma,epsilon,reward_mean,reward_std,reward_ci95,conv_mean,conv_std,conv_ci95,n
0.800000,0.200000,0.000000,-0.492774,0.244754,0.087584,1200.000000,0.000000,0.000000,30
0.800000,0.200000,0.250000,-0.522899,0.328356,0.117501,1200.000000,0.000000,0.000000,30
0.800000,0.200000,0.500000,-0.560308,0.342106,0.122421,1200.000000,0.000000,0.000000,30
0.800000,0.200000,0.750000,-0.567263,0.339558,0.121509,1200.000000,0.000000,0.000000,30
0.800000,0.200000,1.000000,-0.666529,0.314815,0.112655,1200.000000,0.000000,0.000000,30
0.800000,0.400000,0.000000,-0.848533,0.519948,0.186061,1200.000000,0.000000,0.000000,30
0.800000,0.400000,0.250000,-1.318025,0.761421,0.272471,1200.000000,0.000000,0.000000,30
0.800000,0.400000,0.500000,-1.141537,0.765593,0.273964,1200.000000,0.000000,0.000000,30
0.800000,0.400000,0.750000,-1.271727,0.918144,0.328554,1200.000000,0.000000,0.000000,30
0.800000,0.400000,1.000000,-0.932805,0.475114,0.170017,1200.000000,0.000000,0.000000,30
0.800000,0.600000,0.000000,-1.378618,0.928412,0.332228,1200.000000,0.000000,0.000000,30
0.800000,0.600000,0.250000,-1.383267,0.793319,0.283885,1200.000000,0.000000,0.000000,30
0.800000,0.600000,0.500000,-1.714797,1.381114,0.494225,1200.000000,0.000000,0.000000,30
0.800000,0.600000,0.750000,-1.567984,0.763440,0.273193,1200.000000,0.000000,0.000000,30
0.800000,0.600000,1.000000,-2.066699,1.488364,0.532604,1200.000000,0.000000,0.000000,30
0.800000,0.800000,0.000000,-1.825379,1.013978,0.362848,1200.000000,0.000000,0.000000,30
0.800000,0.800000,0.250000,-1.993157,1.291374,0.462112,1186.666667,50.741626,18.157658,30
0.800000,0.800000,0.500000,-2.105761,1.177774,0.421461,1200.000000,0.000000,0.000000,30
0.800000,0.800000,0.750000,-2.196957,1.221371,0.437062,1195.000000,27.386128,9.800000,30
0.800000,0.800000,1.000000,-2.396255,1.211348,0.433475,1200.000000,0.000000,0.000000,30
0.800000,1.000000,0.000000,-2.160284,1.213377,0.434201,1193.333333,28.567323,10.222685,30
0.800000,1.000000,0.250000,-2.843257,1.902322,0.680737,1200.000000,0.000000,0.000000,30
0.800000,1.000000,0.500000,-2.328402,1.089186,0.389760,1200.000000,0.000000,0.000000,30
0.800000,1.000000,0.750000,-3.097988,2.003697,0.717014,1200.000000,0.000000,0.000000,30
0.800000,1.000000,1.000000,-2.485395,1.440885,0.515614,1200.000000,0.000000,0.000000,30
