alpha,sigma,epsilon,friction,reward_gap,convergence_time,policy_variance,pareto_inefficiency
0.0,0.8,0.0,0.8,3.1365822434425352,1178.3333333333333,0.04421103745698929,1.5538097023963928
0.0,0.8,0.25,1.0,3.6109890421231587,1193.3333333333333,0.05379294231534004,2.2043768167495728
0.0,0.8,0.5,1.2000000000000002,3.273431098461151,1200.0,0.049788665026426315,1.733259423573812
0.0,0.8,0.75,1.4000000000000001,3.4393972833951314,1200.0,0.03995686396956444,2.1330203274885813
0.0,0.8,1.0,1.6,3.5752928972244264,1200.0,0.04592007026076317,2.3896291494369506
0.0,1.0,0.0,1.0,3.80741507212321,1173.3333333333333,0.06331280618906021,2.732918961842855
0.0,1.0,0.25,1.25,4.121379693349202,1190.0,0.05627692490816116,2.9496384938557942
0.0,1.0,0.5,1.5,3.470997162659963,1200.0,0.0525788888335228,2.718662353356679
0.0,1.0,0.75,1.75,4.511209066708883,1200.0,0.05426320806145668,3.1010398387908937
0.0,1.0,1.0,2.0,4.0508323311805725,1200.0,0.04294683411717415,2.889441800117493
0.4,0.2,0.0,0.14285714285714288,0.4253253708283106,1200.0,0.03306497633457184,0.33143024121721587
0.4,0.2,0.25,0.17857142857142858,0.502278940876325,1200.0,0.03150881454348564,0.3816065033276876
0.4,0.2,0.5,0.21428571428571433,0.4892261400818825,1200.0,0.02681407704949379,0.4064513032635053
0.4,0.2,0.75,0.25000000000000006,0.5410518685976664,1200.0,0.030368467792868614,0.2661706733206908
0.4,0.2,1.0,0.28571428571428575,0.5745478669802347,1200.0,0.029120633378624916,0.37600070958336196
0.4,0.4,0.0,0.28571428571428575,0.9507257789373398,1200.0,0.04190324619412422,0.8423485159873962
0.4,0.4,0.25,0.35714285714285715,0.9264007568359375,1196.6666666666667,0.02876994200050831,0.5649903426567714
0.4,0.4,0.5,0.42857142857142866,1.0360871771971385,1200.0,0.04194566234946251,0.5706708153088887
0.4,0.4,0.75,0.5000000000000001,1.0613477359215417,1200.0,0.026424087584018707,0.8067826663454374
0.4,0.4,1.0,0.5714285714285715,1.0308495481808981,1200.0,0.03239746764302254,0.6897190431753795
0.4,0.6,0.0,0.4285714285714286,1.3381529112656911,1193.3333333333333,0.033834006637334824,0.599920779466629
0.4,0.6,0.25,0.5357142857142857,1.4253656009833018,1200.0,0.04255075752735138,0.8901977360248565
0.4,0.6,0.5,0.6428571428571428,1.5342287262280783,1200.0,0.03017658181488514,1.0305407285690307
0.4,0.6,0.75,0.7500000000000001,1.6070880194505055,1200.0,0.04529869556427002,1.2285235866904258
0.4,0.6,1.0,0.8571428571428572,1.5653075555960336,1200.0,0.04054601863026619,1.0631811489661536
0.4,0.8,0.0,0.5714285714285715,2.0356448849042255,1193.3333333333333,0.06579508632421494,1.9016629099845885
0.4,0.8,0.25,0.7142857142857143,1.925519335269928,1196.6666666666667,0.05503636971116066,1.1714305063088735
0.4,0.8,0.5,0.8571428571428573,1.7870736340681712,1200.0,0.04511139541864395,0.891167151927948
0.4,0.8,0.75,1.0000000000000002,1.9885862191518149,1200.0,0.040964748710393906,1.2930932263533275
0.4,0.8,1.0,1.142857142857143,2.1011659165223437,1200.0,0.038256995379924774,1.7311487734317779
0.4,1.0,0.0,0.7142857142857143,2.1395777225494386,1195.0,0.05493992194533348,1.4816647211710612
0.4,1.0,0.25,0.8928571428571429,2.2659868121147158,1198.3333333333333,0.04378046467900276,1.7548509180545806
0.4,1.0,0.5,1.0714285714285714,2.327520485719045,1200.0,0.04862586408853531,2.069581127166748
0.4,1.0,0.75,1.25,2.305109320084254,1191.6666666666667,0.036408331245183945,1.9684927026430765
0.4,1.0,1.0,1.4285714285714286,2.5264703154563906,1200.0,0.027718205004930496,1.8081520656744638
0.8,0.2,0.0,0.11111111111111112,0.49277444928884506,1200.0,0.028710436075925827,0.7062437703212102
0.8,0.2,0.25,0.1388888888888889,0.5228991975386937,1200.0,0.033224526792764664,0.6634501318136851
0.8,0.2,0.5,0.16666666666666669,0.5603080093860626,1200.0,0.03346870839595795,0.8098836002250512
0.8,0.2,0.75,0.19444444444444445,0.5672628194093704,1200.0,0.027780629694461823,0.6585171972711881
